Shakib Al Hasan
Mustafizur Rahman
Mahmudullah
Tamim Iqbal
Mushfiqur Rahim
Liton Das
Mashrafe Mortaza
Soumya Sarkar
Mehidy Hasan
Mohammad Saifuddin  
Rubel Hossain 
Kane Williamson
Ish Sodhi
Martin Guptill
Trent Boult
Tim Southee
James Neesham
Mitchell Santner
Ross Taylor
Tom Latham
Colin de Grandhomme
Matt Henry
Virat Kohli
Rohit Sharma
MS Dhoni
KL Rahul
Hardik Pandya
Ravindra Jadeja
Mohammed Shami
Shikhar Dhawan
Bhuvneshwar Kumar
Jasprit Bumrah
Kuldeep Yadav
Dimuth Karunaratne
Kusal Mendis
Dinesh Chandimal
Thisara Perera
Angelo Mathews
Milinda Siriwardana
Isuru Udana
Dhananjaya de Silva
Kasun Rajitha
Suranga Lakmal
Lasith Malinga  
Steve Smith
David Warner
Aaron Finch
Glenn Maxwell
Matthew Wade
Marcus Stoinis
Mitchell Starc
Adam Zampa
Jason Behrendorff
Nathan Coulter-Nile
Nathan Lyon 
Ewin Lewis
Darren Bravo 
Jeremy Solozano
Nicholas Pooran
Shai Hope
Chris Gayle
Carlos Brathwaite
Fabien Allen
Sheldon Cottrell
Shannon Gabriel
Oshane Thomas  
Faf du Plessis
David Miller
Andile Phehlukwayo
Quinton de Kock
Aiden Markram
JP Duminy
Dwaine Pretorius
Chris Morris
Kagiso Rabada
Lungi Ngidi
Beuran Hendricks 
Babar Azam
Imam-ul-Haq
Asid Ali
Sarfaraz Ahmed
Haris Sohail
Shoaib Malik
Imad Wasim
Shaheen Afridi
Hasan Ali
Wahab Riaz
Mohammad Hasnain  
